BenchmarkAppendEvents-16    	     154	   7896032 ns/op	 1152229 B/op	    9979 allocs/op
BenchmarkAppendEvents-16    	     154	   7868969 ns/op	 1151900 B/op	    9977 allocs/op
BenchmarkAppendEvents-16    	     158	   7476244 ns/op	 1151902 B/op	    9976 allocs/op
BenchmarkAppendEvents-16    	     175	   7069026 ns/op	 1152002 B/op	    9980 allocs/op
BenchmarkAppendEvents-16    	     181	   6738249 ns/op	 1151984 B/op	    9980 allocs/op
BenchmarkAppendEvents-16    	     177	   6761814 ns/op	 1151969 B/op	    9980 allocs/op
BenchmarkEvaluate/nested-16         	  195956	      6231 ns/op	    1761 B/op	      34 allocs/op
BenchmarkEvaluate/nested-16         	  207522	      6001 ns/op	    1761 B/op	      34 allocs/op
BenchmarkEvaluate/nested-16         	  209649	      5754 ns/op	    1761 B/op	      34 allocs/op
BenchmarkEvaluate/nested-16         	  210384	      5859 ns/op	    1761 B/op	      34 allocs/op
BenchmarkEvaluate/nested-16         	  208455	      6082 ns/op	    1761 B/op	      34 allocs/op
BenchmarkEvaluate/nested-16         	  211666	      5772 ns/op	    1761 B/op	      34 allocs/op
BenchmarkEvaluate/request-16        	  228609	      5254 ns/op	    1625 B/op	      33 allocs/op
BenchmarkEvaluate/request-16        	  208400	      5388 ns/op	    1625 B/op	      33 allocs/op
BenchmarkEvaluate/request-16        	  238953	      5147 ns/op	    1625 B/op	      33 allocs/op
BenchmarkEvaluate/request-16        	  211998	      5164 ns/op	    1625 B/op	      33 allocs/op
BenchmarkEvaluate/request-16        	  234586	      5026 ns/op	    1625 B/op	      33 allocs/op
BenchmarkEvaluate/request-16        	  236329	      5381 ns/op	    1625 B/op	      33 allocs/op
BenchmarkEvaluate/response-16       	  112297	     10848 ns/op	    3339 B/op	      65 allocs/op
BenchmarkEvaluate/response-16       	  113198	     10752 ns/op	    3339 B/op	      65 allocs/op
BenchmarkEvaluate/response-16       	  112989	     10900 ns/op	    3339 B/op	      65 allocs/op
BenchmarkEvaluate/response-16       	  106149	     11598 ns/op	    3339 B/op	      65 allocs/op
BenchmarkEvaluate/response-16       	  113370	     10564 ns/op	    3339 B/op	      65 allocs/op
BenchmarkEvaluate/response-16       	  114925	     11049 ns/op	    3339 B/op	      65 allocs/op
BenchmarkEvaluate/push-16           	  486578	      2594 ns/op	     768 B/op	      19 allocs/op
BenchmarkEvaluate/push-16           	  486453	      2566 ns/op	     768 B/op	      19 allocs/op
BenchmarkEvaluate/push-16           	  466938	      2632 ns/op	     768 B/op	      19 allocs/op
BenchmarkEvaluate/push-16           	  462487	      2620 ns/op	     768 B/op	      19 allocs/op
BenchmarkEvaluate/push-16           	  464874	      2562 ns/op	     768 B/op	      19 allocs/op
BenchmarkEvaluate/push-16           	  480939	      2455 ns/op	     768 B/op	      19 allocs/op
BenchmarkReassemblerInOrder-16       	   21858	     55413 ns/op	  156049 B/op	     105 allocs/op
